Modell,Mask Size,Mittelwert,Min,Max
Lama,Alle,63.158892601013186,59.19209671020508,68.47144317626953
Telea,Alle,68.29215106964111,62.242706298828125,74.12138366699219
SD,Alle,62.92951013946533,59.1702766418457,67.32010650634766
Lama,Klein,85.06902879333497,73.42192840576172,97.55774688720703
Lama,Mittel,94.30218449401856,83.39515686035156,104.70066833496094
Lama,Groß,136.7472977142334,126.79611206054688,149.75311279296875
Opencv,Klein,85.34934216308594,71.9729232788086,98.75574493408203
Opencv,Mittel,98.93333575439453,84.61209106445312,108.5937728881836
Opencv,Groß,150.65956463623047,138.36819458007812,168.1236572265625
SD,Klein,88.84706065368653,76.9701156616211,100.64948272705078
SD,Mittel,96.35966075134277,85.75408172607422,109.77461242675781
SD,Groß,270.2499603271484,236.0702362060547,287.075927734375
