Modell,Mask Size,Mittelwert,Min,Max
Lama,Alle,43.702967628479,39.5891227722168,48.78010940551758
Telea,Alle,49.542882278442384,44.831302642822266,54.108863830566406
SD,Alle,45.26276251983643,41.90081787109375,49.65596008300781
Lama,Klein,35.347263614654544,28.733129501342773,44.740047454833984
Lama,Mittel,54.296609558105466,47.802833557128906,61.790992736816406
Lama,Groß,111.13015269470215,100.40210723876953,123.6929702758789
Opencv,Klein,35.35443404006958,27.997570037841797,42.592247009277344
Opencv,Mittel,60.7913531036377,53.97430419921875,70.65302276611328
Opencv,Groß,127.74751460266113,116.4717788696289,139.9740447998047
SD,Klein,43.03504080963135,36.74863815307617,49.95683670043945
SD,Mittel,59.160688316345215,52.24626159667969,67.59612274169922
SD,Groß,107.28864483642577,96.49632263183594,118.22181701660156
